githubId,githubUsername,commits
277927,dylanmtaylor,19
277935,plusgut,3
278013,ktosiek,2
278767,cpick,1
279221,mprihoda,1
279390,danrabinowitz,1
279424,shdpl,1
280235,terlar,28
280243,daudi,2
282580,fracek,1
282593,kakkun61,1
283316,dlip,6
283816,tomprince,6
283864,yrns,1
284023,ysangkok,7
285829,stv0g,68
286217,sdawson,1
286704,actionshrimp,5
287213,robdaemon,1
290429,benjumanji,1
290924,pjkundert,2
291639,hauleth,2
291750,roidelapluie,2
292650,cpu,21
294444,balodja,3
295225,pshirshov,12
296298,dmizelle,1
296840,Kernald,1
296959,alyraffauf,7
297479,kidanger,7
297575,cprussin,2
298109,lilyinstarlight,403
298598,vorburger,1
298705,CohenCyril,20
301903,photex,2
303489,turion,38
303897,fabianhjr,626
304639,flexiondotorg,45
304922,chmod222,1
305049,mythmon,1
305899,anti-social,5
306190,svend,3
307899,seqizz,6
310215,benjajaja,2
310363,andyscott,1
311580,zupo,49
313929,gebner,41
314564,RaitoBezarius,483
315003,adsr,2
315234,q3k,4
315639,magicmonty,1
318065,picostove,2
318066,meebey,4
318261,rimmington,1
319411,mcwitt,28
321522,tathougies,3
321799,tailhook,1
321946,alapshin,37
322214,Mathnerd314,4
323199,mihaimaruseac,5
323436,EricTheMagician,12
323761,tlvince,17
324097,sehe,3
327028,colemickens,75
327488,jojosch,174
327943,star-szr,11
328259,hennk,2
329349,mexisme,149
329788,manuelderuiter,1
330168,pascalj,2
330177,adrian-gierakowski,8
330292,evanrichter,19
330875,blakesweeney,1
330943,nathan-gs,2
332418,Trundle,44
332423,numkem,1
332534,zshipko,3
333344,mdorman,3
333572,mgregson,3
333807,bachp,69
334432,mykiwi,2
334882,jm-g,1
334958,giggio,4
337811,rehno-lindeque,21
338268,Shados,4
339354,kolloch,16
339369,alexanderkjeldaas,6
340132,bb010g,13
341004,alexanderheldt,2
341954,lheckemann,194
342500,wizzup,3
345808,farnoy,11
346185,cyounkins,7
346752,eboskma,2
346819,mhutter,1
348013,zendo,146
349360,nemith,1
349618,keszybz,2
350553,Colecf,1
351108,tfmoraes,24
351364,atkrad,1
352634,charlycoste,2
352727,hitsmaxft,1
353885,rbvermaa,3
354250,DanielSiepmann,2
354741,austinbutler,88
355000,n0rc,7
355401,BrianHicks,1
356097,jmatsushita,2
356257,pschyska,14
357794,brian14708,2
357859,talanis85,1
357997,evrim,1
361496,knl,21
362086,kshlm,1
363694,btobolaski,1
364160,YellowOnion,24
366851,yshui,10
367185,janvotava,18
367259,kalekseev,50
368712,nielsegberts,6
368799,fabianhauser,5
368848,crawford,3
369111,numinit,261
369358,iNode,5
372912,jbedo,584
373566,rraval,3
373946,errnoh,14
375276,maxwindiff,1
376460,ShadowApex,7
378375,dpk,4
378734,tg-x,2
381298,9R,28
381842,jammus,1
381992,nbardiuk,2
382011,bolasblack,3
382041,kira-bruneau,345
382160,povik,5
382362,dudebout,3
382796,wh0,11
382798,amfl,2
386666,hdhog,9
386765,K900,2759
387111,PuercoPop,5
387270,timothyklim,19
389365,andeee,1
389387,cust0dian-old,4
391919,oxij,29
392720,jonafato,1
393108,ztzg,8
393902,andreyk0,2
394089,cig0,9
395821,rht,3
395974,reedriley,18
396351,vroad,1
398575,danc86,62
399312,dywedir,33
399535,nh2,158
399718,chris-martin,1
401104,damccull,1
401263,macalinao,8
402596,jnsaff,1
403152,davidwilemski,3
404665,hoh,12
405105,fooker,6
406946,progval,5
409226,tdeebswihart,1
410028,bergkvist,57
411447,Ekleog,30
411978,takeda,5
412508,mstone,8
412749,vog,5
412797,lelit,1
413330,bubuntux,4
414850,vholer,1
415262,binarycode,1
416215,quyse,6
417118,gridbugs,2
417666,amazari,1
417981,cpcloud,348
418227,eonpatapon,7
419631,nxg,1
420942,cameronraysmith,4
422412,kampka,13
423758,nwg,2
424946,earldouglas,7
425024,pcc,5
425739,jeremypenner,1
426541,Azd325,21
427123,just1602,4
427825,haraldh,2
427866,matthiasbeyer,601
427872,4z3,10
428026,liclac,30
428074,YorikSar,41
431708,aisamu,1
432489,execat,1
434254,pborzenkov,33
434942,Dessix,3
435070,caplod,1
435534,MatthieuBarthel,9
435815,mnaser,2
436889,hojerst,1
437018,davidstritzl,2
437852,leonschoorl,2
438648,pwaller,35
438976,hamburger1984,15
441646,giodamelio,3
442623,benpye,3
443728,clefru,4
443978,gvolpe,11
448169,B4dM4n,40
449463,exi,6
450276,NickHu,31
450885,zaninime,12
451835,kirelagin,7
452652,deepfire,3
454605,hacklschorsch,4
454972,BBBSnowball,2
455116,mehmooda,3
455666,benoitlouy,2
457628,jezcope,1
458783,martingms,1
459923,bcardiff,2
460469,ivmai,4
461970,etu,127
462791,ethulhu,1
463907,mokrinsky,2
464625,kiike,44
464659,jimmidyson,1
464913,AleXoundOS,12
465303,delan,15
466378,straight-shoota,2
466723,dnr,3
467450,rksm,3
471059,panchoh,13
471835,giorgiga,16
472846,dramaturg,6
474217,AMDmi3,2
474937,NasaGeek,2
476060,mcnesium,6
476346,imincik,275
477742,davidnuon,17
478237,waldyrious,3
478606,Ptival,1
479389,yurkobb,6
480330,Cloudef,6
483060,yonran,3
483465,wykurz,7
483735,troydm,3
484066,muggenhor,5
486199,c00w,23
486682,dpwiz,1
487050,shlevy,91
487373,nigelgbanks,3
488734,puckipedia,4
492793,nitsky,8
493438,gileri,17
493463,mrkline,7
493849,avanderbergh,1
494012,kevincox,64
494483,edude03,6
495429,caugner,2
496233,ostrolucky,9
496447,roberth,2081
498465,gaelreyrol,118
